,sic_1,sic_2,naics_2,naics_3,naics_4,gsector,ggroup,spcseccd,spcindcd,hp,sp_10,sp_20,sp_30,sp_40,sp_50,sp_60,sp_70,sp_80,sp_90,sp_100,sp_120,sp_140,sp_160,sp_180,sp_200,sp_220,sp_240,st_10,st_20,st_30,st_40,st_50,st_60,st_70,st_80,st_90,st_100,st_120,st_140,st_160,st_180,st_200,st_220,st_240,ismedoid_sp_10,ismedoid_sp_20,ismedoid_sp_30,ismedoid_sp_40,ismedoid_sp_50,ismedoid_sp_60,ismedoid_sp_70,ismedoid_sp_80,ismedoid_sp_90,ismedoid_sp_100,ismedoid_sp_120,ismedoid_sp_140,ismedoid_sp_160,ismedoid_sp_180,ismedoid_sp_200,ismedoid_sp_220,ismedoid_sp_240,ismedoid_st_10,ismedoid_st_20,ismedoid_st_30,ismedoid_st_40,ismedoid_st_50,ismedoid_st_60,ismedoid_st_70,ismedoid_st_80,ismedoid_st_90,ismedoid_st_100,ismedoid_st_120,ismedoid_st_140,ismedoid_st_160,ismedoid_st_180,ismedoid_st_200,ismedoid_st_220,ismedoid_st_240
AZO,5.0,55.0,44.0,441.0,4413.0,25.0,2550.0,976.0,449.0,6,7,5,25,11,3,1,6,10,88,4,26,25,13,10,180,160,140,5,15,7,28,14,9,60,49,37,26,115,94,73,47,24,47,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
BA,3.0,37.0,33.0,336.0,3364.0,20.0,2010.0,925.0,110.0,11,5,14,22,9,15,5,34,67,55,45,25,113,93,73,53,33,13,5,3,5,12,38,50,36,25,13,2,4,55,60,29,137,200,179,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
BAC,6.0,60.0,52.0,522.0,5221.0,40.0,4010.0,800.0,810.0,4,0,3,15,5,34,8,43,33,40,21,67,7,92,88,165,145,220,8,0,19,22,11,2,12,37,78,67,12,106,137,172,149,171,150,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAX,2.0,28.0,32.0,325.0,3254.0,35.0,3510.0,905.0,300.0,10,5,7,18,33,11,55,16,6,33,98,87,125,112,175,116,107,82,6,18,15,8,41,32,46,35,23,89,13,88,112,22,170,155,134,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BBBY,5.0,57.0,44.0,442.0,4422.0,25.0,2550.0,976.0,449.0,6,8,16,5,8,5,11,1,45,57,0,88,138,133,113,93,73,53,4,11,23,13,2,47,69,63,55,63,40,14,69,145,122,107,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBY,5.0,57.0,44.0,443.0,4431.0,25.0,2550.0,976.0,426.0,6,5,7,5,8,5,11,1,45,57,0,88,47,27,7,81,178,168,2,2,28,20,19,24,10,29,84,73,2,124,103,70,34,39,223,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BC,3.0,35.0,33.0,333.0,3336.0,25.0,2520.0,976.0,475.0,15,8,5,25,11,8,39,29,76,87,77,82,60,55,100,162,219,199,0,4,24,21,10,1,5,10,69,58,86,59,38,12,160,145,124,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCR,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,5,4,11,32,1,22,9,2,6,2,15,2,10,6,0,2,12,1,12,2,26,15,46,32,21,9,97,85,125,101,75,52,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDK,3.0,35.0,33.0,333.0,3339.0,25.0,2520.0,976.0,270.0,11,8,16,21,12,25,51,41,31,19,9,41,106,86,66,46,26,6,3,16,9,9,3,21,7,17,79,48,25,4,133,107,84,69,79,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDX,3.0,38.0,33.0,339.0,3391.0,35.0,3510.0,905.0,300.0,10,5,4,11,32,1,22,9,2,6,2,15,2,10,6,0,2,12,4,8,14,27,47,38,24,70,58,47,24,3,129,166,143,128,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BEN,6.0,62.0,52.0,523.0,5239.0,40.0,4020.0,800.0,823.0,4,0,3,15,18,39,57,47,63,51,96,47,131,111,70,50,30,229,1,12,2,26,15,46,32,21,73,62,39,105,84,58,35,20,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BHI,1.0,13.0,21.0,213.0,2131.0,10.0,1010.0,935.0,395.0,5,6,15,26,16,6,40,18,8,11,66,32,74,88,32,44,24,4,4,8,14,24,13,43,29,68,59,29,64,130,109,83,60,45,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BIG,5.0,53.0,45.0,452.0,4523.0,25.0,2550.0,976.0,432.0,6,7,0,0,4,12,53,59,28,16,82,62,117,71,41,10,9,227,0,4,24,21,10,1,5,10,69,58,95,134,113,87,64,49,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIIB,2.0,28.0,32.0,325.0,3254.0,35.0,3520.0,905.0,147.0,10,5,4,7,33,11,55,46,1,64,48,86,81,158,38,18,59,177,1,8,10,0,46,43,29,68,59,29,64,64,127,101,78,63,42,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BIO,3.0,38.0,33.0,334.0,3345.0,35.0,3520.0,940.0,230.0,10,5,12,8,34,49,59,49,19,86,85,106,84,64,44,24,4,95,6,18,8,1,1,11,54,43,31,20,108,126,157,176,153,93,113,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
BK,6.0,60.0,52.0,522.0,5221.0,40.0,4020.0,800.0,815.0,-1,0,3,15,18,39,57,47,37,51,96,47,16,63,70,50,30,229,8,0,19,22,29,22,65,61,49,38,15,79,91,151,6,196,88,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
BKNG,7.0,73.0,51.0,519.0,5191.0,25.0,2550.0,940.0,185.0,16,1,17,8,34,40,2,11,3,29,19,27,121,101,81,61,41,21,0,7,15,8,39,48,34,23,11,90,113,92,71,45,22,7,210,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
