gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,dltt,dv,ebit,lt,sale,costat
001121,20161231,2016,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,192.5180,246.8720,0.0000,3.7110,6.0540,95.5600,1099.5400,A
001121,20171231,2017,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,245.6850,282.7040,1.3510,3.7110,1.5020,135.5850,1322.0600,A
001121,20181231,2018,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,229.5900,278.8700,3.2090,3.7110,0.7980,132.2720,1750.2130,A
001121,20191231,2019,INDL,C,D,STD,AE,ADAMS RESOURCES & ENERGY INC,USD,247.3240,330.8420,11.6990,3.9760,7.8000,179.2010,1811.2470,A
001161,20001231,2000,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2657.6890,5767.7350,1167.9730,0.0000,888.7360,2596.0680,4644.1870,A
001161,20011231,2001,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2353.1090,5647.2420,672.9450,0.0000,37.9480,2092.1870,3891.7540,A
001161,20021231,2002,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2019.6780,5619.1810,1779.8370,0.0000,-852.8110,3151.9160,2697.0290,A
001161,20031231,2003,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2900.2780,7094.3450,1899.6740,0.0000,-247.2770,3938.3950,3519.1680,A
001161,20041231,2004,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3227.9970,7844.2100,1628.2680,0.0000,227.2650,3993.5160,5001.4350,A
001161,20051231,2005,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3558.8360,7287.7790,1327.0650,0.0000,247.6550,3700.9540,5847.5770,A
001161,20061231,2006,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3963.0000,13147.0000,3672.0000,0.0000,401.0000,7072.0000,5649.0000,A
001161,20071231,2007,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3816.0000,11550.0000,5031.0000,0.0000,-1211.0000,8295.0000,6013.0000,A
001161,20081231,2008,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,2379.0000,7675.0000,4702.0000,0.0000,-968.0000,7588.0000,5808.0000,A
001161,20091231,2009,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,4275.0000,9078.0000,4252.0000,0.0000,-513.0000,7354.0000,5403.0000,A
001161,20101231,2010,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,3594.0000,4964.0000,2188.0000,0.0000,492.0000,3951.0000,6494.0000,A
